*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,Westpac HCP 1317,Bank,BAS Excluded,,No,No,No,
,Westpac Business One 098,Bank,BAS Excluded,,No,No,No,
,American Express® Platinum Business Card,Bank,BAS Excluded,,No,No,No,
,St George Credit Card 9923,Bank,BAS Excluded,,No,No,No,
,Archived HCP,Bank,BAS Excluded,,No,No,No,
200,Sales,Revenue,GST on Income,Income from any normal business activity,No,No,No,
201,Sales - "Desc",Revenue,GST on Income,Income from any normal business activity,No,No,No,
202,Sales - "Desc1",Revenue,GST on Income,Income from any normal business activity,No,No,No,
210,Fees Received,Revenue,GST on Income,Income from any normal business activity,No,No,No,
211,Fees Received - GSTable,Revenue,GST on Income,Income from any normal business activity,No,No,No,
212,Fees Received - GST Free,Revenue,GST Free Income,Income from any normal business activity,No,No,No,
213,Bne Sth Reciepts GSTable,Revenue,GST on Income,,No,No,No,
214,Bne Sth Reciepts GST Free,Revenue,GST Free Income,,No,No,No,
216,Fees Rc'd HCP Brisbane South,Revenue,GST Free Income,,No,No,No,
217,Wage Subsidy Income,Revenue,GST on Income,,No,No,No,
220,Consulting Income,Revenue,GST on Income,Income from any normal business activity,No,No,No,
221,Consulting Income - "Desc",Revenue,GST on Income,Income from any normal business activity,No,No,No,
222,Contractor Fees,Revenue,GST on Income,Income from any normal business activity,No,No,No,
240,Livestock Accounts,Revenue,BAS Excluded,,No,No,No,
241,Livestock Accounts - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.01,Sales - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.02,Deaths - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.03,Killed for Rations - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.04,Opening Stock - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.05,Natural Increase - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.06,Closing Stock - CATTLE,Revenue,BAS Excluded,,No,No,No,
241.07,Gross Profit (Loss) - CATTLE,Revenue,BAS Excluded,,No,No,No,
260,Other Revenue,Other Income,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
261,Other Revenue - Management Fees,Other Income,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
270,Interest Income,Other Income,BAS Excluded,Interest income,No,No,No,
271,ATO Interest Income,Revenue,BAS Excluded,,No,No,No,
280,Commissions Received,Other Income,BAS Excluded,,No,No,No,
282,Gain on Sale of Non-Current Asset,Other Income,BAS Excluded,,No,No,No,
282.5,Capital Gain (Loss) on Sale,Other Income,BAS Excluded,,No,No,No,
283,Proceeds on Sale of Non-Current Assets,Other Income,BAS Excluded,,No,No,No,
284,Employee Contribution,Other Income,GST on Income,,No,No,No,
285,Discounts Received,Other Income,BAS Excluded,,No,No,No,
286,Dividends Received,Other Income,BAS Excluded,,No,No,No,
287,Trust Distributions Received,Other Income,BAS Excluded,,No,No,No,
287.01,Trust Distributions Received - "Desc",Other Income,BAS Excluded,,No,No,No,
288,Partnership Distributions Received,Other Income,BAS Excluded,,No,No,No,
288.01,Partnership Distributions Received - "Desc",Other Income,BAS Excluded,,No,No,No,
290,Rebates,Other Income,BAS Excluded,,No,No,No,
291,Government Rebates,Other Income,BAS Excluded,,No,No,No,
291.01,Government Rebates - Other,Other Income,GST on Income,,No,No,No,
295,FBT Reimbursement Income,Other Income,BAS Excluded,,No,No,No,
298,Foreign Currency Exchanges,Other Income,BAS Excluded,,No,No,No,
299,Rental Income,Other Income,BAS Excluded,,No,No,No,
300,Rental Agent Fees,Expense,BAS Excluded,,No,No,No,
301,Rental Bank Fees,Expense,BAS Excluded,,No,No,No,
302,Rental Body Corporate,Expense,BAS Excluded,,No,No,No,
305,Rental Commissions,Expense,BAS Excluded,,No,No,No,
310,Rental Depreciation,Expense,BAS Excluded,,No,No,No,
314,Rental Insurance,Expense,BAS Excluded,,No,No,No,
315,Rental Interest,Expense,BAS Excluded,,No,No,No,
320,Rental Land Tax,Expense,BAS Excluded,,No,No,No,
325,Rental Rates,Expense,BAS Excluded,,No,No,No,
330,Rental Repairs,Expense,BAS Excluded,,No,No,No,
335,Rental Sundry,Expense,BAS Excluded,,No,No,No,
337,Rental Water,Expense,BAS Excluded,,No,No,No,
390,Other Expenses (Non-Trading),Expense,BAS Excluded,Expenses incurred for advertising while trying to increase sales,No,No,No,
395,Other "Expenses1" (Non-Trading),Expense,BAS Excluded,Expenses incurred for advertising while trying to increase sales,No,No,No,
400,Accounting Fees,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,No,No,
400.5,SC Administration Services,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,No,No,
401,Advertising/Promotions,Expense,GST on Expenses,Expenses related to paying consultants,No,No,No,
401.5,Advert.- Recruitment,Expense,GST on Expenses,,No,No,No,
401.6,Client Gifts,Expense,GST on Expenses,,No,No,No,
402,Amortisation,Expense,BAS Excluded,,No,No,No,
402.1,Amortisation - Borrowing Costs,Expense,BAS Excluded,,No,No,No,
402.2,Amortisation - Formation Costs,Expense,BAS Excluded,,No,No,No,
402.3,Amortisation - Leasehold Improvements,Expense,BAS Excluded,,No,No,No,
402.4,Assets <$1000,Expense,GST on Expenses,,No,No,No,
402.5,Audit Fee,Expense,GST on Expenses,,No,No,No,
